Index,frame,SSAO,HBAO,GTAO,,7.242476667,13.77530533,7.079581
174,0.0013993,1.3993,15.7129,7.0558,,,,
175,0.0068707,6.8707,15.8004,8.1959,,,,
176,0.0070195,7.0195,11.1394,5.4881,,,,
177,0.0074039,7.4039,16.1629,7.0962,,,,
178,0.0100605,10.0605,11.2594,9.2057,,,,
179,0.0032938,3.2938,12.3577,4.6534,,,,
180,0.0087052,8.7052,14.0998,9.1465,,,,
181,0.0053494,5.3494,13.5504,9.5377,,,,
182,0.0089785,8.9785,13.062,9.4231,,,,
183,0.0075203,7.5203,15.1808,3.8018,,,,
184,0.0043439,4.3439,11.8844,8.5678,,,,
185,0.0091095,9.1095,15.7515,5.8407,,,,
186,0.0113025,11.3025,11.3517,3.7273,,,,
187,0.0057059,5.7059,14.0441,5.5959,,,,
188,0.0015031,1.5031,13.4018,6.8254,,,,
189,0.008139,8.139,22.3029,8.9855,,,,
190,0.006831,6.831,7.3497,6.3004,,,,
191,0.0065553,6.5553,15.7281,7.1768,,,,
192,0.0062019,6.2019,12.4965,5.3005,,,,
193,0.00725,7.25,16.2601,8.8883,,,,
194,0.0078848,7.8848,13.0828,8.6172,,,,
195,0.0059893,5.9893,8.91,4.9938,,,,
196,0.0071677,7.1677,13.8906,5.2651,,,,
197,0.0067771,6.7771,13.7797,7.1841,,,,
198,0.0092592,9.2592,16.9955,8.0513,,,,
199,0.0086814,8.6814,12.368,5.621,,,,
200,0.0057253,5.7253,15.1591,8.7378,,,,
201,0.0040727,4.0727,10.8308,5.0824,,,,
202,0.0067657,6.7657,16.644,9.735,,,,
203,0.00699,6.99,10.6612,17.8837,,,,
204,0.007056,7.056,13.6611,1.4154,,,,
205,0.0082292,8.2292,14.3072,5.8396,,,,
206,0.0073945,7.3945,12.9825,6.8489,,,,
207,0.006896,6.896,18.3588,7.0723,,,,
208,0.005061,5.061,9.3023,8.5057,,,,
209,0.0071323,7.1323,17.7522,5.3741,,,,
210,0.0068434,6.8434,9.4257,9.0638,,,,
211,0.0069704,6.9704,15.2178,10.6327,,,,
212,0.0092706,9.2706,12.3336,11.906,,,,
213,0.005465,5.465,13.8955,3.1626,,,,
214,0.006434,6.434,18.0991,6.9529,,,,
215,0.00676,6.76,9.2736,6.7531,,,,
216,0.0084906,8.4906,17.8468,6.9539,,,,
217,0.0076145,7.6145,11.3007,6.9724,,,,
218,0.0045954,4.5954,15.0379,9.2097,,,,
219,0.0069276,6.9276,10.2051,10.1286,,,,
220,0.0089386,8.9386,13.7614,7.2528,,,,
221,0.0065965,6.5965,13.9416,1.9554,,,,
222,0.0060416,6.0416,13.6737,6.2604,,,,
223,0.0061731,6.1731,16.3569,8.4588,,,,
224,0.0070289,7.0289,10.5322,10.9802,,,,
225,0.0086761,8.6761,18.3825,4.223,,,,
226,0.0050149,5.0149,11.897,4.0177,,,,
227,0.0071719,7.1719,11.3036,6.9548,,,,
228,0.008981,8.981,13.3343,7.0287,,,,
229,0.0049085,4.9085,14.2584,7.0562,,,,
230,0.0097081,9.7081,15.7346,6.694,,,,
231,0.0071027,7.1027,12.4612,6.9818,,,,
232,0.003965,3.965,16.6502,6.8832,,,,
233,0.0068209,6.8209,10.1885,7.0132,,,,
234,0.0081787,8.1787,16.7751,8.9548,,,,
235,0.0057742,5.7742,12.9106,4.9266,,,,
236,0.0069744,6.9744,14.7397,8.3284,,,,
237,0.0068948,6.8948,10.1558,7.5741,,,,
238,0.0068302,6.8302,14.0623,5.0969,,,,
239,0.0085322,8.5322,14.016,6.7403,,,,
240,0.0055733,5.5733,13.5615,9.7735,,,,
241,0.0090221,9.0221,16.5247,6.5118,,,,
242,0.0050146,5.0146,12.6161,4.5586,,,,
243,0.0084005,8.4005,15.6091,6.9909,,,,
244,0.0137667,13.7667,10.0116,7.2669,,,,
245,0.010497,10.497,13.8095,8.955,,,,
