Index,SSAO-GrayScale,HBAO-GrayScale,GTAO-GrayScale,,SSAO-Light,HBAO-Light,GTAO-Light,,,,,,,,
110,144.382,93.4699,136.505,,144.979,92.5913,143.509,,,,,,,,
111,143.612,94.4483,140.778,,144.051,93.3382,143.873,,,,,,,,
112,144.898,93.5294,142.304,,143.521,92.9609,143.567,,,,,,,,
113,143.895,93.1145,142.472,,143.712,92.7574,144.141,,,,,,,,
114,144.017,93.6567,140.387,,143.877,93.1059,144.47,,,,,,,,
115,143.452,93.7597,140.464,,144.586,93.348,143.275,,,,,,,,
116,144.123,92.7087,141.997,,144.577,92.5453,144.338,,,,,,,,
117,143.952,92.993,142.474,,144.947,92.4542,143.004,,,,,,,,
118,143.972,93.1417,141.39,,143.386,92.9235,144.016,,,,,,,,
119,143.745,92.7657,144.365,,145.063,92.5877,144.7,,,,,,,,
120,144.094,93.7423,142.282,,143.745,92.5355,143.742,,,,,,,,
121,144.366,93.4242,140.683,,144.071,92.8326,142.759,,,,,,,,
122,144.139,93.0373,142.545,,144.24,92.3417,142.839,,,,,,,,
123,144.196,93.2006,142.797,,144.161,92.5713,144.016,,,,,,,,
124,143.363,93.1411,139.574,,144.656,92.7719,144.131,,,,,,,,
125,143.967,92.5672,144.669,,143.716,92.4126,144.787,,,,,,,,
126,144.742,92.9591,144.956,,144.45,92.3569,143.93,,,,,,,,
127,143.975,93.1165,143.669,,144.149,92.5103,143.767,,,,,,,,
128,143.875,93.0207,144.113,,144.543,93.2565,143.79,,,,,,,,
129,143.974,92.0156,143.35,,144.071,92.3942,143.781,,,,,,,,
130,144.531,92.6874,142.784,,144.072,92.6736,143.64,,,,,,,,
131,144.02,93.1291,142.634,,144.169,92.7853,144.061,,,,,,,,
132,144.939,92.3164,143.309,,144.947,94.0388,144.864,,,,,,,,
133,143.719,93.0508,143.146,,144.65,92.6496,143.959,,,,,,,,
134,143.777,93.1594,143.521,,143.193,92.6466,144.185,,,,,,,,
135,143.92,92.4939,143.208,,144.172,92.5656,143.514,,,,,,,,
136,144.081,92.8998,143.34,,144.392,92.0006,143.077,,,,,,,,
137,144.218,93.2918,143.114,,144.98,94.0366,143.773,,,,,,,,
138,145.091,92.391,143.322,,144.048,92.6613,144.889,,,,,,,,
139,145.095,92.425,143.668,,143.588,91.9164,146.189,,,,,,,,
140,144.814,93.4272,144.124,,144.029,92.3376,144.622,,,,,,,,
141,144.986,92.342,143.039,,144.424,92.0105,144.609,,,,,,,,
142,144.363,92.6022,143.998,,143.968,92.0333,144.069,,,,,,,,
143,144.364,92.465,142.957,,143.988,91.7482,145.019,,,,,,,,
144,144.423,92.4964,143.991,,144.301,92.0468,143.621,,,,,,,,
145,143.02,92.4537,144.107,,144.029,91.7021,143.331,,,,,,,,
146,144.143,92.615,143.527,,144.048,91.6169,144.431,,,,,,,,
147,143.881,93.01,143.288,,143.311,91.5405,143.064,,,,,,,,
148,144.659,92.6234,143.181,,143.913,91.6908,144.081,,,,,,,,
149,144.075,92.7815,144.17,,143.291,91.4473,143.971,,,,,,,,
150,143.907,93.1582,143.753,,143.915,91.2436,145.285,,,,,,,,
151,143.766,92.3585,144.039,,143.844,91.7564,143.734,,,,,,,,
152,143.862,92.5159,145.671,,143.471,91.4426,144.043,,,,,,,,
153,143.167,92.8102,144.212,,143.867,91.4722,144.054,,,,,,,,
154,142.813,92.3606,144.077,,144.171,91.0834,144.533,,,,,,,,
155,144.072,92.3171,143.839,,144.721,91.2932,144.576,,,,,,,,
156,143.793,92.2762,145.654,,144.16,92.1203,145.339,,,,,,,,
157,144.456,92.3253,145.059,,143.902,91.289,142.977,,,,,,,,
158,142.544,92.046,144.508,,143.716,91.2178,143.99,,,,,,,,
159,143.876,92.3653,144.075,,145.1,91.1623,144.077,,,,,,,,
160,143.486,92.212,143.919,,144.109,91.1239,142.817,,,,,,,,
161,144.007,92.1254,144.744,,144.013,91.181,143.75,,,,,,,,
162,143.811,92.3245,143.785,,143.887,90.9016,143.019,,,,,,,,
163,143.891,93.0893,144.41,,144.338,90.8412,143.97,,,,,,,,
164,144.108,92.063,143.515,,144.297,90.7943,143.002,,,,,,,,
165,144.372,92.3,143.813,,144.253,91.0132,143.451,,,,,,,,
166,143.735,92.6842,145.022,,143.779,90.783,144.566,,,,,,,,
167,143.951,91.8558,144.685,,144.469,90.8472,143.93,,,,,,,,
168,143.988,92.0924,144.231,,143.808,90.8654,144.308,,,,,,,,
169,143.851,92.3845,144.081,,144.329,90.899,144.034,,,,,,,,
170,143.973,91.9042,144.662,,143.85,89.3251,143.51,,,,,,,,
171,143.767,91.8923,144.494,,143.747,90.1077,143.713,,,,,,,,
172,142.867,92.512,144.6,,143.834,90.5379,144.939,,,,,,,,
173,144.036,92.3447,144,,144.085,90.6331,143.684,,,,,,,,
174,143.875,91.4951,144.875,,143.411,90.2325,144.109,,,,,,,,
175,144.827,91.8383,145.013,,143.899,90.6684,143.248,,,,,,,,
176,143.952,92.5327,143.726,,143.807,90.7026,143.308,,,,,,,,
177,143.691,92.1293,143.714,,141.826,90.5519,145.076,,,,,,,,
178,144.106,91.8086,143.584,,143.746,90.5398,143.525,,,,,,,,
179,144.078,92.1909,143.315,,128.138,90.4094,143.982,,,,,,,,
180,143.799,91.9907,143.671,,129.683,90.5564,143.96,,,,,,,,
181,143.616,91.6037,145.489,,129.142,90.3009,144.959,,,,,,,,
182,143.743,92.3366,142.886,,129.38,90.5411,145.043,,,,,,,,
183,142.739,92.0919,142.729,,126.922,90.4342,143.729,,,,,,,,
184,141.896,91.8973,146.35,,127.084,90.1232,143.551,,,,,,,,
185,142.442,92.8538,146.655,,127.515,90.1635,143.929,,,,,,,,
186,143.784,92.0298,145.564,,128.421,90.2253,143.911,,,,,,,,
187,143.018,92.05,144.78,,129.927,90.0621,144.067,,,,,,,,
188,144.589,92.3687,144.967,,129.108,89.7342,144.001,,,,,,,,
189,144.12,93.2486,144.667,,130.218,90.2121,143.129,,,,,,,,
190,144.035,92.2316,145.244,,129.99,89.8467,144.291,,,,,,,,
191,144.361,92.1115,144.748,,131.036,89.8736,143.378,,,,,,,,
192,144.076,92.7923,144.857,,130.929,89.671,144.156,,,,,,,,
193,144.237,92.0909,144.887,,130.004,89.8921,143.774,,,,,,,,
194,144.256,92.0576,144.525,,131.65,89.7096,143.228,,,,,,,,
195,144.335,92.8668,144.706,,131.227,89.7436,144.948,,,,,,,,
196,143.322,92.3216,143.952,,131.585,90.204,144.475,,,,,,,,
197,144.179,92.6706,144.884,,130.914,89.5938,144.352,,,,,,,,
198,144.14,92.8188,144.673,,130.534,89.8447,143.432,,,,,,,,
199,143.906,91.9558,144.383,,131,90.1243,144.333,,,,,,,,
200,144.912,92.1862,144.28,,131.061,89.9333,143.744,,,,,,,,
201,143.653,92.6789,145.469,,130.767,89.924,143.787,,,,,,,,
202,143.993,92.5207,142.382,,130.741,89.8542,143.941,,,,,,,,
203,143.337,92.4422,144.329,,130.847,89.609,143.755,,,,,,,,
204,144.443,92.1979,144.011,,130.359,89.9181,144.798,,,,,,,,
205,144.673,92.2046,143.709,,131.006,89.7772,143.238,,,,,,,,
206,144.003,92.0739,144.475,,130.828,89.8632,143.94,,,,,,,,
207,143.934,92.402,144.399,,131.644,90.1696,144.132,,,,,,,,
208,143.956,92.5226,144.842,,130.919,89.9522,144.331,,,,,,,,
209,143.594,92.3896,143.978,,131.359,89.9162,143.937,,,,,,,,
210,143.658,92.3103,144.257,,131.066,90.1946,143.052,,,,,,,,
211,144.066,92.7759,143.309,,130.68,89.8648,143.321,,,,,,,,
212,143.466,92.4813,144.034,,131.139,89.699,143.851,,,,,,,,
213,145.766,92.1559,144.397,,130.32,89.4054,143.928,,,,,,,,
214,144.608,92.313,143.971,,130.567,89.9819,143.473,,,,,,,,
215,144.069,92.3434,144.227,,129.969,89.7897,144.145,,,,,,,,
216,143.305,92.4963,144.538,,128.05,89.6145,143.378,,,,,,,,
217,144.212,92.4811,144.015,,129.481,89.6874,145.239,,,,,,,,
218,145.339,92.7631,143.556,,130.983,89.591,144.178,,,,,,,,
219,143.978,93.1121,144.666,,130.314,89.5721,143.462,,,,,,,,
220,144.689,92.6151,144.496,,130.892,89.5218,144.558,,,,,,,,
221,143.773,92.9423,143.973,,130.937,89.3551,144.31,,,,,,,,
222,144.226,92.6438,144.812,,130.51,89.7693,145.103,,,,,,,,
223,143.59,92.6742,144.066,,130.876,89.5467,143.739,,,,,,,,
224,143.974,92.9511,145.098,,131.344,89.7988,145.658,,,,,,,,
225,144.063,92.3661,144.753,,131.33,89.5321,144.476,,,,,,,,
226,144.86,92.5111,143.984,,130.753,89.2265,144.046,,,,,,,,
227,144.029,92.8354,143.982,,130.844,89.4269,143.202,,,,,,,,
228,143.588,92.647,144.097,,131.156,89.6074,144.163,,,,,,,,
229,144.234,92.5421,144.463,,130.785,89.6501,143.788,,,,,,,,
230,143.195,92.736,144.993,,130.746,90.9179,144.985,,,,,,,,
231,144.392,92.7991,143.957,,131.131,90.0694,144.482,,,,,,,,
232,144.496,92.6268,144.029,,131.364,89.3748,143.232,,,,,,,,
233,143.786,92.7277,144.842,,131.109,89.569,144.061,,,,,,,,
234,143.981,93.4786,143.691,,130.743,89.6929,143.987,,,,,,,,
235,143.97,93.062,144.613,,130.866,89.3603,145.114,,,,,,,,
236,143.592,92.5257,142.965,,130.529,89.3631,143.683,,,,,,,,
237,133.523,92.8787,144.579,,132.694,89.2862,143.414,,,,,,,,
238,134.023,93.1262,144.435,,130.667,89.4874,144.461,,,,,,,,
239,135.222,92.9254,143.264,,146.834,89.6253,143.591,,,,,,,,
240,135.696,92.7599,141.194,,145.797,89.4529,143.701,,,,,,,,
241,129.271,93.2734,139.504,,146.127,89.518,143.958,,,,,,,,
242,130.252,92.2985,141.711,,145.434,89.4304,144.062,,,,,,,,
243,132.338,92.6805,143.292,,148.603,89.4007,143.512,,,,,,,,
244,134.823,92.9995,141.042,,148.8,89.2533,144.759,,,,,,,,
245,132.635,92.4351,141.636,,148.009,89.2114,142.74,,,,,,,,
246,132.639,93.167,141.448,,147.032,89.3,143.468,,,,,,,,
247,132.568,93.4015,141.685,,144.669,89.1209,143.454,,,,,,,,
248,132.762,92.3246,141.645,,146.102,88.5341,143.995,,,,,,,,
249,132.843,92.5616,141.665,,144.006,89.132,144.771,,,,,,,,
250,132.719,92.807,141.636,,145.031,87.4064,143.88,,,,,,,,
251,132.812,92.8553,141.829,,144.45,88.6151,144.721,,,,,,,,
252,132.808,92.7474,141.64,,143.754,89.1208,143.678,,,,,,,,
253,132.346,92.9848,141.22,,144.99,89.0618,144.512,,,,,,,,
