Index,SSAO-Mean Blur,HBAO-Mean Blur,GTAO-Mean Blur,,SSAO-Box Blur,HBAO-Box Blur,GTAO-Box Blur,,,,,,,,
218,140.863,86.5607,140.358,,143.977,89.8273,143.858,,,,,,,,
219,140.845,86.3734,147.552,,143.998,89.9213,144.448,,,,,,,,
220,140.372,86.6548,146.473,,143.973,89.4619,144.445,,,,,,,,
221,141.668,86.2687,146.223,,143.977,89.8031,144.039,,,,,,,,
222,141.11,85.9172,144.393,,143.401,89.7719,144.734,,,,,,,,
223,141.645,86.3378,144.797,,144.019,89.5366,143.885,,,,,,,,
224,141.649,86.4155,143.966,,143.989,89.8076,144.372,,,,,,,,
225,141.639,86.3385,144.645,,144.002,89.5707,144.17,,,,,,,,
226,141.649,86.4576,144.331,,144.002,89.8626,144.486,,,,,,,,
227,141.159,86.6439,144.035,,144.015,89.3196,144.042,,,,,,,,
228,141.67,86.9478,144.402,,144.009,89.7755,144.26,,,,,,,,
229,141.834,86.255,143.948,,143.975,89.3776,144.848,,,,,,,,
230,141.858,86.1695,144.071,,144.83,89.2527,144.111,,,,,,,,
231,141.732,86.5176,144.081,,144.009,90.0108,144.211,,,,,,,,
232,141.656,85.4153,143.95,,144.018,89.4655,143.603,,,,,,,,
233,140.414,85.7856,143.782,,144.485,89.4802,143.877,,,,,,,,
234,141.66,86.2498,143.893,,144.038,89.8608,143.682,,,,,,,,
235,141.664,86.4316,144.337,,144.214,89.9072,143.879,,,,,,,,
236,141.646,86.8531,144.304,,143.972,89.5158,144.079,,,,,,,,
237,141.623,86.0936,144.14,,144.293,89.3154,144.675,,,,,,,,
238,141.165,86.4157,143.809,,143.977,89.5595,144.404,,,,,,,,
239,145.896,86.5474,144.916,,144.264,89.6405,144.095,,,,,,,,
240,144.881,86.111,143.551,,143.965,89.4214,144.389,,,,,,,,
241,143.974,86.0883,144.749,,144.035,89.282,143.786,,,,,,,,
242,142.023,86.2876,144.265,,143.634,89.7269,144.363,,,,,,,,
243,141.772,86.1024,144.307,,143.883,89.522,143.933,,,,,,,,
244,143.08,86.1473,143.839,,143.995,89.3388,143.865,,,,,,,,
245,143.544,85.8795,144.09,,144.004,88.8924,143.98,,,,,,,,
246,143.856,86.3346,144.419,,144.388,89.3721,143.679,,,,,,,,
247,143.711,86.2443,143.896,,143.974,89.5036,144.255,,,,,,,,
248,143.995,86.1101,144.005,,143.984,89.1377,144.168,,,,,,,,
249,144.624,85.57,143.76,,143.562,88.8666,144.496,,,,,,,,
250,144.017,86.3103,143.892,,143.964,88.8949,144.843,,,,,,,,
251,143.97,86.7315,143.543,,143.973,89.2169,144.676,,,,,,,,
252,143.639,86.3013,143.876,,144.001,88.6533,144.087,,,,,,,,
253,144.516,86.2871,144.222,,144.017,88.7949,144.184,,,,,,,,
254,144.014,86.1329,143.862,,144.007,88.8061,143.772,,,,,,,,
255,144.365,86.6214,144.622,,143.997,89.1664,143.566,,,,,,,,
256,143.987,86.3629,143.599,,144.029,89.2617,144.218,,,,,,,,
257,143.991,86.5459,143.796,,144.459,89.0622,143.766,,,,,,,,
258,144.812,86.5805,143.835,,144.002,88.9474,144.922,,,,,,,,
259,144.009,86.3697,144.045,,144.268,88.7138,143.484,,,,,,,,
260,143.999,86.3856,144.225,,143.976,88.6443,144.333,,,,,,,,
261,146.075,86.3208,143.883,,144.012,88.8213,143.373,,,,,,,,
262,144.705,86.3033,144.046,,144.305,89.2327,144.047,,,,,,,,
263,143.991,86.357,144,,143.998,88.864,143.717,,,,,,,,
264,144.922,86.097,144.07,,144.518,88.3219,143.951,,,,,,,,
265,143.583,85.8825,143.83,,143.936,89.0877,144.686,,,,,,,,
266,145.8,86.5283,143.927,,143.985,88.7543,143.782,,,,,,,,
267,146.503,86.6206,143.593,,143.964,88.1091,144.639,,,,,,,,
268,146.504,85.7387,144.323,,144.014,87.9419,143.964,,,,,,,,
269,144.402,85.9482,144.204,,143.97,88.4929,144.743,,,,,,,,
270,143.985,85.9422,144.091,,144.011,88.3853,143.811,,,,,,,,
271,144.093,86.3338,144.147,,144.029,88.2247,143.848,,,,,,,,
